Date,Day,Wait Time,Weekend,Public Holiday,School Holiday,Weather Condition,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C)
2023-07-12,Wednesday,41.01190476190476,0,0,0,0,0.0,0.0,0.0,0.0,28.3,31.5,25.2
2023-07-13,Thursday,39.726190476190474,0,0,0,0,0.0,0.0,0.0,0.0,29.3,32.7,27.0
2023-07-14,Friday,39.0609756097561,0,0,0,2,53.0,21.5,27.5,36.5,26.5,28.6,23.7
2023-07-15,Saturday,43.73809523809524,1,0,0,0,0.0,0.0,0.0,0.0,28.0,30.2,25.5
2023-07-16,Sunday,42.416666666666664,1,0,0,0,0.0,0.0,0.0,0.0,29.5,32.4,27.1
2023-07-17,Monday,50.773809523809526,0,0,0,1,5.2,2.8,2.8,3.2,28.4,31.7,26.8
2023-07-18,Tuesday,35.595238095238095,0,0,0,2,47.0,42.0,47.0,47.0,27.3,29.4,23.7
2023-07-19,Wednesday,39.75,0,0,0,2,96.0,49.8,64.8,88.8,27.1,28.7,23.7
2023-07-20,Thursday,32.654761904761905,0,0,0,2,73.6,45.2,56.8,61.2,26.6,28.7,23.2
2023-07-21,Friday,44.87012987012987,0,0,0,0,0.0,0.0,0.0,0.0,28.7,32.1,27.2
2023-07-22,Saturday,47.654761904761905,1,0,0,0,0.0,0.0,0.0,0.0,29.1,31.9,27.4
2023-07-23,Sunday,35.964285714285715,1,0,0,0,1.4,1.4,1.4,1.4,28.4,30.7,25.5
2023-07-24,Monday,43.31481481481482,0,0,0,0,0.0,0.0,0.0,0.0,28.9,32.2,26.1
2023-07-25,Tuesday,38.44047619047619,0,0,0,0,0.0,0.0,0.0,0.0,29.6,32.9,27.8
2023-07-26,Wednesday,42.476190476190474,0,0,0,0,0.0,0.0,0.0,0.0,29.6,33.2,27.7
2023-07-27,Thursday,45.654761904761905,0,0,0,0,0.0,0.0,0.0,0.0,29.6,33.3,27.9
2023-07-28,Friday,42.023809523809526,0,0,0,0,0.0,0.0,0.0,0.0,29.6,32.5,27.8
2023-07-29,Saturday,42.48809523809524,1,0,0,0,0.0,0.0,0.0,0.0,29.6,32.7,27.9
2023-07-30,Sunday,41.30120481927711,1,0,0,0,0.4,0.4,0.4,0.4,29.4,32.4,27.7
2023-07-31,Monday,49.23809523809524,0,0,0,0,0.0,0.0,0.0,0.0,28.8,31.7,27.7
2023-08-01,Tuesday,42.035714285714285,0,0,0,0,0.0,0.0,0.0,0.0,29.3,32.4,27.5
2023-08-02,Wednesday,35.892857142857146,0,0,0,0,0.0,0.0,0.0,0.0,29.6,33.4,28.3
2023-08-03,Thursday,40.89156626506024,0,0,0,1,3.4,0.8,1.0,1.8,26.3,28.6,23.5
2023-08-04,Friday,44.595238095238095,0,0,0,0,0.4,0.4,0.4,0.4,28.7,32.5,26.0
2023-08-05,Saturday,43.345238095238095,1,0,0,0,0.2,0.2,0.2,0.2,29.4,33.3,27.4
2023-08-06,Sunday,36.96341463414634,1,0,0,0,0.0,0.0,0.0,0.0,29.4,33.2,26.4
2023-08-07,Monday,46.654761904761905,0,0,0,0,0.0,0.0,0.0,0.0,29.3,32.4,27.4
2023-08-08,Tuesday,42.433734939759034,0,0,0,0,0.0,0.0,0.0,0.0,28.7,33.3,27.4
2023-08-09,Wednesday,38.57142857142857,0,1,1,0,0.0,0.0,0.0,0.0,29.1,32.7,27.2
2023-08-10,Thursday,44.68674698795181,0,0,1,0,0.0,0.0,0.0,0.0,29.3,32.6,27.8
2023-08-11,Friday,44.285714285714285,0,0,0,2,6.0,5.8,6.0,6.0,29.0,33.0,25.1
2023-08-12,Saturday,42.404761904761905,1,0,0,0,0.0,0.0,0.0,0.0,29.4,33.3,27.1
2023-08-13,Sunday,39.285714285714285,1,0,0,0,0.0,0.0,0.0,0.0,29.0,32.0,27.6
2023-08-14,Monday,42.976190476190474,0,0,0,2,28.0,20.0,24.0,26.8,27.6,32.9,24.4
2023-08-15,Tuesday,41.54761904761905,0,0,0,0,0.0,0.0,0.0,0.0,28.3,32.0,25.7
2023-08-16,Wednesday,44.20238095238095,0,0,0,1,3.0,3.0,3.0,3.0,28.4,32.9,24.7
2023-08-17,Thursday,42.79761904761905,0,0,0,0,0.0,0.0,0.0,0.0,28.8,31.9,27.4
2023-08-18,Friday,34.86904761904762,0,0,0,2,32.0,26.4,29.2,31.4,27.0,28.7,24.1
2023-08-19,Saturday,39.79761904761905,1,0,0,2,8.6,8.6,8.6,8.6,27.4,30.7,25.0
2023-08-20,Sunday,35.964285714285715,1,0,0,0,0.0,0.0,0.0,0.0,28.8,31.7,26.9
2023-08-21,Monday,40.857142857142854,0,0,0,2,17.5,6.0,8.0,15.5,27.1,29.2,24.4
2023-08-22,Tuesday,38.976190476190474,0,0,0,0,0.0,0.0,0.0,0.0,29.1,32.6,26.6
2023-08-23,Wednesday,40.096385542168676,0,0,0,0,0.0,0.0,0.0,0.0,29.3,32.7,27.1
2023-08-24,Thursday,36.94047619047619,0,0,0,0,0.0,0.0,0.0,0.0,28.9,33.0,27.2
2023-08-25,Friday,41.12048192771084,0,0,0,0,0.4,0.4,0.4,0.4,28.1,31.5,25.3
2023-08-26,Saturday,36.16867469879518,1,0,0,0,0.5,0.5,0.5,0.5,27.8,31.0,26.8
2023-08-27,Sunday,26.36904761904762,1,0,0,0,0.0,0.0,0.0,0.0,28.6,32.0,26.2
2023-08-28,Monday,45.34146341463415,0,0,0,0,0.0,0.0,0.0,0.0,28.4,31.4,26.8
2023-08-29,Tuesday,25.55421686746988,0,0,0,0,0.0,0.0,0.0,0.0,28.6,31.4,27.3
2023-08-30,Wednesday,25.19047619047619,0,0,0,0,0.0,0.0,0.0,0.0,28.4,31.3,25.6
2023-08-31,Thursday,27.595238095238095,0,0,0,0,0.0,0.0,0.0,0.0,29.1,32.4,27.2
2023-09-01,Friday,38.535714285714285,0,1,1,0,0.0,0.0,0.0,0.0,29.3,32.7,27.1
2023-09-02,Saturday,23.97590361445783,1,0,1,0,0.0,0.0,0.0,0.0,29.2,33.2,26.8
2023-09-03,Sunday,19.238095238095237,1,0,1,0,0.0,0.0,0.0,0.0,29.1,33.2,27.3
2023-09-04,Monday,26.916666666666668,0,0,1,0,0.0,0.0,0.0,0.0,29.0,32.3,27.5
2023-09-05,Tuesday,15.011904761904763,0,0,1,1,3.5,3.0,3.5,3.5,28.5,32.1,26.2
2023-09-06,Wednesday,14.988095238095237,0,0,1,2,47.0,21.4,26.8,33.6,27.1,33.1,23.8
2023-09-07,Thursday,20.55952380952381,0,0,1,0,0.6,0.4,0.6,0.6,28.0,32.1,24.6
2023-09-08,Friday,21.654761904761905,0,0,1,2,4.8,4.4,4.8,4.8,29.0,32.6,26.1
2023-09-09,Saturday,17.321428571428573,1,0,1,2,22.2,22.0,22.2,22.2,28.0,32.1,24.0
2023-09-10,Sunday,14.518072289156626,1,0,1,0,1.4,0.6,0.8,0.8,27.4,31.0,24.9
2023-09-11,Monday,23.976190476190474,0,0,0,0,0.0,0.0,0.0,0.0,28.3,31.7,26.8
2023-09-12,Tuesday,9.845238095238095,0,0,0,0,0.0,0.0,0.0,0.0,28.7,32.3,27.4
2023-09-13,Wednesday,15.457831325301205,0,0,0,0,0.0,0.0,0.0,0.0,29.3,33.3,27.4
2023-09-14,Thursday,12.54320987654321,0,0,0,0,0.0,0.0,0.0,0.0,29.5,33.4,27.3
2023-09-15,Friday,16.142857142857142,0,0,0,0,0.0,0.0,0.0,0.0,29.5,33.7,27.3
2023-09-16,Saturday,17.19047619047619,1,0,0,0,0.0,0.0,0.0,0.0,29.2,33.3,27.5
2023-09-17,Sunday,10.630952380952381,1,0,0,0,0.0,0.0,0.0,0.0,28.8,32.2,26.9
2023-09-18,Monday,17.523809523809526,0,0,0,0,0.0,0.0,0.0,0.0,28.7,32.4,26.0
2023-09-19,Tuesday,14.511904761904763,0,0,0,0,0.6,0.6,0.6,0.6,29.1,34.9,27.1
2023-09-20,Wednesday,17.426829268292682,0,0,0,2,27.8,20.4,25.0,27.6,27.7,32.8,24.6
2023-09-22,Friday,23.265060240963855,0,0,0,0,0.0,0.0,0.0,0.0,28.5,31.7,26.5
2023-09-23,Saturday,25.107142857142858,1,0,0,0,0.0,0.0,0.0,0.0,28.5,31.3,26.5
2023-09-24,Sunday,12.535714285714286,1,0,0,2,36.4,20.4,27.4,30.8,26.7,28.3,23.2
2023-09-25,Monday,28.678571428571427,0,0,0,0,0.0,0.0,0.0,0.0,28.1,30.8,25.4
2023-09-26,Tuesday,17.01219512195122,0,0,0,0,0.0,0.0,0.0,0.0,29.2,33.2,27.1
2023-09-27,Wednesday,20.071428571428573,0,0,0,0,0.0,0.0,0.0,0.0,29.6,33.5,27.6
2023-09-28,Thursday,27.071428571428573,0,0,0,0,0.0,0.0,0.0,0.0,29.5,33.4,27.4
2023-09-29,Friday,34.31386861313869,0,0,0,0,0.0,0.0,0.0,0.0,29.2,33.8,27.4
2023-09-30,Saturday,30.0,1,0,0,0,1.6,1.6,1.6,1.6,28.0,31.5,26.8
2023-10-01,Sunday,28.44047619047619,1,0,0,0,0.0,0.0,0.0,0.0,28.8,32.5,26.5
2023-10-02,Monday,33.72222222222222,0,0,0,0,0.0,0.0,0.0,0.0,29.4,32.5,27.1
2023-10-03,Tuesday,31.297619047619047,0,0,0,0,0.2,0.2,0.2,0.2,27.7,30.4,25.9
2023-10-04,Wednesday,28.36904761904762,0,0,0,0,0.0,0.0,0.0,0.0,29.0,33.6,26.4
2023-10-05,Thursday,28.544117647058822,0,0,0,0,0.0,0.0,0.0,0.0,29.7,35.3,27.4
2023-10-06,Friday,26.48905109489051,0,0,1,0,0.0,0.0,0.0,0.0,29.6,33.9,27.6
2023-10-07,Saturday,24.29850746268657,1,0,0,0,0.0,0.0,0.0,0.0,29.9,34.3,27.7
2023-10-08,Sunday,14.69047619047619,1,0,0,0,0.0,0.0,0.0,0.0,29.5,34.0,27.0
2023-10-09,Monday,20.44047619047619,0,0,0,2,18.4,12.2,13.4,17.4,28.6,32.3,24.3
2023-10-10,Tuesday,14.916666666666666,0,0,0,0,0.0,0.0,0.0,0.0,29.3,33.4,27.5
2023-10-11,Wednesday,14.595238095238095,0,0,0,0,0.0,0.0,0.0,0.0,29.4,32.2,27.3
2023-10-12,Thursday,24.0,0,0,0,0,0.0,0.0,0.0,0.0,29.9,34.9,27.8
2023-10-13,Friday,25.21212121212121,0,0,0,0,0.0,0.0,0.0,0.0,29.6,33.1,27.2
2023-10-14,Saturday,31.6,1,0,0,0,0.0,0.0,0.0,0.0,29.6,33.0,27.6
2023-10-15,Sunday,13.202380952380953,1,0,0,0,0.0,0.0,0.0,0.0,29.8,33.0,27.2
2023-10-16,Monday,25.785714285714285,0,0,0,1,2.8,2.8,2.8,2.8,29.5,32.5,25.0
2023-10-17,Tuesday,17.88888888888889,0,0,0,0,0.0,0.0,0.0,2.8,29.6,32.9,26.7
2023-10-18,Wednesday,20.4025974025974,0,0,0,2,38.8,23.0,25.4,31.2,27.3,32.9,24.1
2023-10-19,Thursday,26.21167883211679,0,0,0,0,0.0,0.0,0.0,0.0,28.7,33.0,26.1
2023-10-20,Friday,30.175182481751825,0,0,0,0,0.0,0.0,0.0,0.0,28.5,31.7,27.1
2023-10-21,Saturday,36.111111111111114,1,0,0,0,0.0,0.0,0.0,0.0,28.6,32.6,26.8
2023-10-22,Sunday,21.330827067669173,1,0,0,2,13.4,8.4,8.4,13.4,27.8,32.4,24.5
2023-10-23,Monday,28.5,0,0,0,2,9.2,9.0,9.0,9.0,28.2,32.9,25.7
2023-10-24,Tuesday,16.583333333333332,0,0,0,0,0.0,0.0,0.0,0.0,28.8,33.7,26.5
2023-10-25,Wednesday,20.662650602409638,0,0,0,0,0.0,0.0,0.0,0.0,28.1,31.4,26.0
2023-10-26,Thursday,27.963503649635037,0,0,0,0,0.6,0.4,0.4,0.6,29.0,31.5,26.5
2023-10-27,Friday,26.744525547445257,0,0,0,0,0.0,0.0,0.0,0.0,29.7,34.0,27.0
2023-10-28,Saturday,30.781954887218046,1,0,0,0,2.4,1.8,1.8,1.8,27.8,32.1,25.2
2023-10-29,Sunday,18.601503759398497,1,0,0,0,0.4,0.4,0.4,0.4,28.9,33.1,25.9
2023-10-30,Monday,20.892857142857142,0,0,0,2,25.4,24.4,25.4,25.4,28.5,33.1,23.7
2023-10-31,Tuesday,12.226190476190476,0,0,0,2,17.6,13.4,14.8,17.6,28.2,33.9,24.7
2023-11-01,Wednesday,12.666666666666666,0,0,0,0,0.0,0.0,0.0,0.0,28.5,31.9,26.1
2023-11-06,Monday,20.875,0,0,0,0,0.0,0.0,0.0,0.0,29.3,33.0,27.2
2023-11-07,Tuesday,10.904761904761905,0,0,0,1,3.2,3.2,3.2,3.2,28.6,33.9,25.5
2023-11-08,Wednesday,12.05952380952381,0,0,0,0,0.0,0.0,0.0,0.0,28.4,31.0,26.2
2023-11-09,Thursday,16.0,0,0,0,0,0.0,0.0,0.0,0.0,28.7,32.8,26.8
2023-11-10,Friday,24.05952380952381,0,0,0,0,0.0,0.0,0.0,0.0,29.4,33.0,28.0
2023-11-11,Saturday,18.976190476190474,1,0,0,0,0.0,0.0,0.0,0.0,29.7,33.8,26.9
2023-11-12,Sunday,18.987654320987655,1,1,1,0,0.0,0.0,0.0,0.0,29.1,32.5,27.4
2023-11-13,Monday,22.857142857142858,0,0,0,2,4.2,4.2,4.2,4.2,29.2,34.8,26.1
2023-11-14,Tuesday,22.964285714285715,0,0,0,2,28.4,22.8,27.6,28.2,27.4,32.5,25.2
2023-11-15,Wednesday,18.555555555555557,0,0,0,0,0.0,0.0,0.0,0.0,28.7,33.1,25.9
2023-11-16,Thursday,23.238095238095237,0,0,0,2,16.0,15.4,16.0,16.0,28.2,32.8,25.3
2023-11-17,Friday,28.654761904761905,0,0,0,0,2.2,2.2,2.2,2.2,28.1,32.8,25.9
2023-11-18,Saturday,21.023809523809526,1,0,1,2,51.8,30.4,36.4,37.2,28.0,33.3,24.8
2023-11-19,Sunday,17.125,1,0,1,0,0.0,0.0,0.0,0.0,27.9,30.1,26.1
2023-11-20,Monday,20.952380952380953,0,0,1,0,0.0,0.0,0.0,0.0,28.4,31.8,26.0
2023-11-21,Tuesday,18.05,0,0,1,2,17.4,5.0,8.0,13.8,27.5,31.5,25.8
2023-11-22,Wednesday,13.036144578313253,0,0,1,0,0.0,0.0,0.0,0.0,28.1,31.3,25.9
2023-11-23,Thursday,14.843373493975903,0,0,1,2,6.4,4.0,4.2,5.2,28.1,32.4,23.8
2023-11-24,Friday,21.0,0,0,1,2,5.2,4.8,5.2,5.2,27.6,31.6,25.0
2023-11-25,Saturday,25.285714285714285,1,0,1,0,0.8,0.4,0.6,0.6,27.3,30.5,26.0
2023-11-26,Sunday,13.46987951807229,1,0,1,1,2.6,2.6,2.6,2.6,27.3,32.0,25.6
2023-11-27,Monday,18.313253012048193,0,0,1,0,0.0,0.0,0.0,0.0,27.6,31.0,25.6
2023-11-28,Tuesday,14.567901234567902,0,0,1,2,39.4,24.0,33.8,38.6,27.7,33.3,24.7
2023-11-29,Wednesday,13.25,0,0,1,0,1.0,1.0,1.0,1.0,27.6,31.6,25.5
2023-11-30,Thursday,12.012658227848101,0,0,1,2,69.6,27.8,28.4,46.2,27.1,33.3,24.4
2023-12-01,Friday,13.91358024691358,0,0,1,2,    12.6,     2.6,     4.6,     8.4,    26.9,    31.4,    24.2
2023-12-02,Saturday,13.175438596491228,1,0,1,0,     0.0,     0.0,     0.0,     0.0,    28.4,    32.1,    25.8
2023-12-03,Sunday,12.566666666666666,1,0,1,0,     0.8,     0.6,     0.8,     0.8,    26.7,    27.7,    25.5
2023-12-04,Monday,14.084033613445378,0,0,1,0,     0.2,     0.2,     0.2,     0.2,    27.1,    29.3,    25.6
2023-12-05,Tuesday,10.441666666666666,0,0,1,1,     4.0,     3.4,     3.8,     3.8,    28.0,    33.5,    24.8
2023-12-06,Wednesday,10.15,0,0,1,2,    28.6,     9.2,    15.4,    20.4,    26.3,    32.3,    24.1
2023-12-07,Thursday,12.666666666666666,0,0,1,1,     3.6,     2.6,     3.6,     3.6,    27.1,    33.6,    24.8
2023-12-08,Friday,22.48739495798319,0,0,1,2,    11.6,    10.2,    11.4,    11.6,    28.3,    34.1,    25.5
2023-12-09,Saturday,15.378151260504202,1,0,1,0,     0.5,     0.5,     0.5,     0.5,    28.1,    31.6,    25.9
2023-12-10,Sunday,12.420168067226891,1,0,1,0,     0.0,     0.0,     0.0,     0.0,    28.4,    31.9,    26.3
2023-12-11,Monday,18.663716814159294,0,0,1,2,    13.6,    11.4,    12.8,    13.2,    27.8,    32.8,    25.4
2023-12-12,Tuesday,9.652173913043478,0,0,1,2,    18.6,     4.8,     6.4,    11.4,    26.3,    31.2,    24.7
2023-12-13,Wednesday,13.254545454545454,0,0,1,1,-,-,-,-,    27.2,    32.1,    24.7
2023-12-20,Wednesday,18.838983050847457,0,0,1,1,     3.0,     3.0,     3.0,     3.0,    27.9,    33.6,    25.6
2023-12-21,Thursday,19.747826086956522,0,0,1,2,    11.8,     5.8,     9.6,    11.6,    27.4,    33.2,    25.2
2023-12-22,Friday,23.428571428571427,0,0,1,1,     2.6,     1.2,     1.8,     2.4,    28.1,    32.5,    25.2
2023-12-23,Saturday,21.758064516129032,1,0,1,0,     0.0,     0.0,     0.0,     0.0,    26.8,    29.1,    25.4
2023-12-24,Sunday,21.3046875,1,0,1,0,     1.6,     1.2,     1.4,     1.6,    27.9,    32.2,    25.0
2023-12-25,Monday,29.206106870229007,0,1,1,0,     1.2,     0.6,     1.0,     1.2,    27.1,    31.0,    24.8
2023-12-26,Tuesday,34.924369747899156,0,0,1,1,     3.6,     3.6,     3.6,     3.6,    27.6,    32.2,    25.5
2023-12-30,Saturday,30.1937984496124,1,0,1,1,     3.0,     1.8,     2.0,     2.2,    27.9,    32.2,    26.4
2023-12-31,Sunday,17.52671755725191,1,0,1,1,     3.0,     0.8,     1.2,     1.2,    26.4,    28.1,    25.5
