Month,Day,Day of the Week,School Holiday,Public Holiday
10,1,Sunday,0,0
10,2,Monday,0,0
10,3,Tuesday,0,0
10,4,Wednesday,0,0
10,5,Thursday,0,0
10,6,Friday,0,0
10,7,Saturday,0,0
10,8,Sunday,0,0
10,9,Monday,0,0
10,10,Tuesday,0,0
10,11,Wednesday,0,0
10,12,Thursday,0,0
10,13,Friday,0,0
10,14,Saturday,0,1
10,15,Sunday,0,0
10,16,Monday,0,0
10,17,Tuesday,0,0
10,18,Wednesday,0,0
10,19,Thursday,0,0
10,20,Friday,0,0
10,21,Saturday,0,0
10,22,Sunday,0,0
10,23,Monday,0,0
10,24,Tuesday,0,0
10,25,Wednesday,0,0
10,26,Thursday,0,0
10,27,Friday,0,0
10,28,Saturday,0,0
10,29,Sunday,0,0
10,30,Monday,0,0
10,31,Tuesday,0,0
11,1,Wednesday,0,0
11,2,Thursday,0,0
11,3,Friday,0,0
11,4,Saturday,0,0
11,5,Sunday,0,0
11,6,Monday,0,0
11,7,Tuesday,0,0
11,8,Wednesday,0,0
11,9,Thursday,0,0
11,10,Friday,0,0
11,11,Saturday,0,0
11,12,Sunday,0,0
11,13,Monday,0,1
11,14,Tuesday,0,0
11,15,Wednesday,0,0
11,16,Thursday,0,0
11,17,Friday,0,0
11,18,Saturday,1,0
11,19,Sunday,1,0
11,20,Monday,1,0
11,21,Tuesday,1,0
11,22,Wednesday,1,0
11,23,Thursday,1,0
11,24,Friday,1,0
11,25,Saturday,1,0
11,26,Sunday,1,0
11,27,Monday,1,0
11,28,Tuesday,1,0
11,29,Wednesday,1,0
11,30,Thursday,1,0
12,1,Friday,1,0
12,2,Saturday,1,0
12,3,Sunday,1,0
12,4,Monday,1,0
12,5,Tuesday,1,0
12,6,Wednesday,1,0
12,7,Thursday,1,0
12,8,Friday,1,0
12,9,Saturday,1,0
12,10,Sunday,1,0
12,11,Monday,1,0
12,12,Tuesday,1,0
12,13,Wednesday,1,0
12,14,Thursday,1,0
12,15,Friday,1,0
12,16,Saturday,1,0
12,17,Sunday,1,0
12,18,Monday,1,0
12,19,Tuesday,1,0
12,20,Wednesday,1,0
12,21,Thursday,1,0
12,22,Friday,1,0
12,23,Saturday,1,0
12,24,Sunday,1,0
12,25,Monday,1,1
12,26,Tuesday,1,0
12,27,Wednesday,1,0
12,28,Thursday,1,0
12,29,Friday,1,0
12,30,Saturday,1,0
12,31,Sunday,1,0
1,1,Monday,0,1
1,2,Tuesday,0,0
1,3,Wednesday,0,0
1,4,Thursday,0,0
1,5,Friday,0,0
1,6,Saturday,0,0
1,7,Sunday,0,0
1,8,Monday,0,0
1,9,Tuesday,0,0
1,10,Wednesday,0,0
1,11,Thursday,0,0
1,12,Friday,0,0
1,13,Saturday,0,0
1,14,Sunday,0,0
1,15,Monday,0,0
1,16,Tuesday,0,0
1,17,Wednesday,0,0
1,18,Thursday,0,0
1,19,Friday,0,0
1,20,Saturday,0,0
1,21,Sunday,0,0
1,22,Monday,0,0
1,23,Tuesday,0,0
1,24,Wednesday,0,0
1,25,Thursday,0,0
1,26,Friday,0,0
1,27,Saturday,0,0
1,28,Sunday,0,0
1,29,Monday,0,0
1,30,Tuesday,0,0
1,31,Wednesday,0,0
2,1,Thursday,0,0
2,2,Friday,0,0
2,3,Saturday,0,0
2,4,Sunday,0,0
2,5,Monday,0,0
2,6,Tuesday,0,0
2,7,Wednesday,0,0
2,8,Thursday,0,0
2,9,Friday,0,0
2,10,Saturday,0,1
2,11,Sunday,0,1
2,12,Monday,0,1
2,13,Tuesday,0,0
2,14,Wednesday,0,0
2,15,Thursday,0,0
2,16,Friday,0,0
2,17,Saturday,0,0
2,18,Sunday,0,0
2,19,Monday,0,0
2,20,Tuesday,0,0
2,21,Wednesday,0,0
2,22,Thursday,0,0
2,23,Friday,0,0
2,24,Saturday,0,0
2,25,Sunday,0,0
2,26,Monday,0,0
2,27,Tuesday,0,0
2,28,Wednesday,0,0
2,29,Thursday,0,0
3,1,Friday,0,0
3,2,Saturday,0,0
3,3,Sunday,0,0
3,4,Monday,0,0
3,5,Tuesday,0,0
3,6,Wednesday,0,0
3,7,Thursday,0,0
3,8,Friday,0,0
3,9,Saturday,1,0
3,10,Sunday,1,0
3,11,Monday,1,0
3,12,Tuesday,1,0
3,13,Wednesday,1,0
3,14,Thursday,1,0
3,15,Friday,1,0
3,16,Saturday,1,0
3,17,Sunday,1,0
3,18,Monday,0,0
3,19,Tuesday,0,0
3,20,Wednesday,0,0
3,21,Thursday,0,0
3,22,Friday,0,0
3,23,Saturday,0,0
3,24,Sunday,0,0
3,25,Monday,0,0
3,26,Tuesday,0,0
3,27,Wednesday,0,0
3,28,Thursday,0,0
3,29,Friday,0,1
3,30,Saturday,0,0
3,31,Sunday,0,0
4,1,Monday,0,0
4,2,Tuesday,0,0
4,3,Wednesday,0,0
4,4,Thursday,0,0
4,5,Friday,0,0
4,6,Saturday,0,0
4,7,Sunday,0,0
4,8,Monday,0,0
4,9,Tuesday,0,0
4,10,Wednesday,0,1
4,11,Thursday,0,0
4,12,Friday,0,0
4,13,Saturday,0,0
4,14,Sunday,0,0
4,15,Monday,0,0
4,16,Tuesday,0,0
4,17,Wednesday,0,0
4,18,Thursday,0,0
4,19,Friday,0,0
4,20,Saturday,0,0
4,21,Sunday,0,0
4,22,Monday,0,0
4,23,Tuesday,0,0
4,24,Wednesday,0,0
4,25,Thursday,0,0
4,26,Friday,0,0
4,27,Saturday,0,0
4,28,Sunday,0,0
4,29,Monday,0,0
4,30,Tuesday,0,0
5,1,Wednesday,0,1
5,2,Thursday,0,0
5,3,Friday,0,0
5,4,Saturday,0,0
5,5,Sunday,0,0
5,6,Monday,0,0
5,7,Tuesday,0,0
5,8,Wednesday,0,0
5,9,Thursday,0,0
5,10,Friday,0,0
5,11,Saturday,0,0
5,12,Sunday,0,0
5,13,Monday,0,0
5,14,Tuesday,0,0
5,15,Wednesday,0,0
5,16,Thursday,0,0
5,17,Friday,0,0
5,18,Saturday,0,0
5,19,Sunday,0,0
5,20,Monday,0,0
5,21,Tuesday,0,0
5,22,Wednesday,0,1
5,23,Thursday,0,0
5,24,Friday,0,0
5,25,Saturday,1,0
5,26,Sunday,1,0
5,27,Monday,1,0
5,28,Tuesday,1,0
5,29,Wednesday,1,0
5,30,Thursday,1,0
5,31,Friday,1,0
6,1,Saturday,1,0
6,2,Sunday,1,0
6,3,Monday,1,0
6,4,Tuesday,1,0
6,5,Wednesday,1,0
6,6,Thursday,1,0
6,7,Friday,1,0
6,8,Saturday,1,0
6,9,Sunday,1,0
6,10,Monday,1,0
6,11,Tuesday,1,0
6,12,Wednesday,1,0
6,13,Thursday,1,0
6,14,Friday,1,0
6,15,Saturday,1,0
6,16,Sunday,1,0
6,17,Monday,1,1
6,18,Tuesday,1,0
6,19,Wednesday,1,0
6,20,Thursday,1,0
6,21,Friday,1,0
6,22,Saturday,1,0
6,23,Sunday,1,0
6,24,Monday,0,0
6,25,Tuesday,0,0
6,26,Wednesday,0,0
6,27,Thursday,0,0
6,28,Friday,0,0
6,29,Saturday,0,0
6,30,Sunday,0,0
7,1,Monday,1,0
7,2,Tuesday,0,0
7,3,Wednesday,0,0
7,4,Thursday,0,0
7,5,Friday,0,0
7,6,Saturday,0,0
7,7,Sunday,0,0
7,8,Monday,0,0
7,9,Tuesday,0,0
7,10,Wednesday,0,0
7,11,Thursday,0,0
7,12,Friday,0,0
7,13,Saturday,0,0
7,14,Sunday,0,0
7,15,Monday,0,0
7,16,Tuesday,0,0
7,17,Wednesday,0,0
7,18,Thursday,0,0
7,19,Friday,0,0
7,20,Saturday,0,0
7,21,Sunday,0,0
7,22,Monday,0,0
7,23,Tuesday,0,0
7,24,Wednesday,0,0
7,25,Thursday,0,0
7,26,Friday,0,0
7,27,Saturday,0,0
7,28,Sunday,0,0
7,29,Monday,0,0
7,30,Tuesday,0,0
7,31,Wednesday,0,0
8,1,Thursday,0,0
8,2,Friday,0,0
8,3,Saturday,0,0
8,4,Sunday,0,0
8,5,Monday,0,0
8,6,Tuesday,0,0
8,7,Wednesday,0,0
8,8,Thursday,0,0
8,9,Friday,0,1
8,10,Saturday,0,0
8,11,Sunday,0,0
8,12,Monday,0,0
8,13,Tuesday,0,0
8,14,Wednesday,0,0
8,15,Thursday,0,0
8,16,Friday,0,0
8,17,Saturday,0,0
8,18,Sunday,0,0
8,19,Monday,0,0
8,20,Tuesday,0,0
8,21,Wednesday,0,0
8,22,Thursday,0,0
8,23,Friday,0,0
8,24,Saturday,0,0
8,25,Sunday,0,0
8,26,Monday,0,0
8,27,Tuesday,0,0
8,28,Wednesday,0,0
8,29,Thursday,0,0
8,30,Friday,0,0
8,31,Saturday,1,0
9,1,Sunday,1,0
9,2,Monday,1,0
9,3,Tuesday,1,0
9,4,Wednesday,1,0
9,5,Thursday,1,0
9,6,Friday,1,0
9,7,Saturday,1,0
9,8,Sunday,1,0
9,9,Monday,0,0
9,10,Tuesday,0,0
9,11,Wednesday,0,0
9,12,Thursday,0,0
9,13,Friday,0,0
9,14,Saturday,0,0
9,15,Sunday,0,0
9,16,Monday,0,0
9,17,Tuesday,0,0
9,18,Wednesday,0,0
9,19,Thursday,0,0
9,20,Friday,0,0
9,21,Saturday,0,0
9,22,Sunday,0,0
9,23,Monday,0,0
9,24,Tuesday,0,0
9,25,Wednesday,0,0
9,26,Thursday,0,0
9,27,Friday,0,0
9,28,Saturday,0,0
9,29,Sunday,0,0
9,30,Monday,0,0
10,1,Tuesday,0,0
10,2,Wednesday,0,0
10,3,Thursday,0,0
10,4,Friday,1,0
10,5,Saturday,0,0
10,6,Sunday,0,0
10,7,Monday,0,0
10,8,Tuesday,0,0
10,9,Wednesday,0,0
10,10,Thursday,0,0
10,11,Friday,0,0
10,12,Saturday,0,0
10,13,Sunday,0,0
10,14,Monday,0,0
10,15,Tuesday,0,0
10,16,Wednesday,0,0
10,17,Thursday,0,0
10,18,Friday,0,0
10,19,Saturday,0,0
10,20,Sunday,0,0
10,21,Monday,0,0
10,22,Tuesday,0,0
10,23,Wednesday,0,0
10,24,Thursday,0,0
10,25,Friday,0,0
10,26,Saturday,0,0
10,27,Sunday,0,0
10,28,Monday,0,0
10,29,Tuesday,0,0
10,30,Wednesday,0,0
10,31,Thursday,0,1
